address,latitude,longitude
Chemin de Rovéréaz 25,46.53034537806692,6.656622455324942
Chemin de la Grangette 29b,46.53472099518278,6.656578805390185
Chemin du Village 23,46.52393073553077,6.656744589383335
Chemin de la Grangette 29a,46.53455127725025,6.656609027477506
Chemin de la Vuachère 77,46.51963369545462,6.6568976967503755
Chemin du Réservoir 4,46.52532871721965,6.656868045904328
Chemin de la Cure 3b,46.52936891549672,6.65682536174722
Chemin du Grand-Praz 4,46.521829040816066,6.656954411151179
Chemin des Mayoresses 45,46.53296257440171,6.65689074155565
Chemin de la Vulliette 12b,46.55786834052,6.682400128486887
Route de Cojonnex 6g,46.55907238732387,6.682425042471047
Route de Cojonnex 85,46.562140413566205,6.682448522941598
Route du Jorat 41c,46.54602315633281,6.682691558794953
Route du Jorat 26d,46.543085248496794,6.68275627597838
Chemin de la Planche-aux-Oies 11e,46.54947474174132,6.693466204302441
Chemin du Couchant 28,46.520684021198576,6.608387990172627
Chemin de Champrilly 18,46.53142321739256,6.608226913167818
Rue du Simplon 15,46.51575003497422,6.630346190229553
Rue des Amis 2,46.52988713163072,6.630140926322871
Rue Saint-Laurent 19,46.52253230664601,6.630259328442233
Rue des Jardins 24,46.530667278084465,6.630189867219594
Rue de la Pontaise 5,46.528954368274704,6.630261383282757
Rue des Jardins 9,46.53017841859879,6.630265090323849
Avenue d'Ouchy 14,46.51355606532233,6.6305146023499475
Rue du Valentin 7,46.52386663777384,6.6303750605164105
Avenue d'Ouchy 31,46.512071816928646,6.630589951840209
Chemin de Bérée 24a,46.53801497629762,6.654149457888174
Avenue de Chailly 40,46.523557316739584,6.65437629135408
Chemin de la Vuachère 45,46.52018575171094,6.654431151765542
Chemin de Beau-Val 7,46.523396811418046,6.652553014946099
Route d'Oron 33b,46.535289697938445,6.6524131242404
Avenue de Chailly 17,46.525183689751145,6.652568850853884
Route d'Oron 31b,46.535054431225284,6.652425802574754
Avenue du Temple 18d,46.530224663042794,6.652559920857095
Avenue Maria-Belgia 6,46.511967339734284,6.633639418510113
Rue Philippe-François-de-Langallerie 2,46.52031820124981,6.63719592470013
Place du Nord 7,46.52599446966102,6.637199838335406
Avenue des Alpes 1,46.514867786393864,6.637376595806144
Chemin Antoine-de-Chandieu 3,46.512889878814335,6.637415500896389
Avenue Juste-Olivier 5,46.51589389898611,6.637379513271611
Chemin Edouard-Sandoz 5,46.507442815191745,6.637543594079568
Route d'Oron 19,46.53520489560778,6.650166814807615
Chemin du Devin 31d,46.52962945536363,6.650251779778053
Chemin des Fauconnières 12,46.526361669431026,6.650335054286033
Route de Berne 99,46.538328409248834,6.650163619702503
Chemin de la Gottettaz 44,46.521368131826726,6.650440030682642
Avenue de Béthusy 85,46.526314033770326,6.650431937552232
Chemin Isabelle-de-Montolieu 58d,46.54161426374502,6.65025994221012
Chemin de Clamadour 16,46.52710809986973,6.650546264268235
Chemin du Trabandan 24,46.5145941610733,6.643704022012655
Avenue Gabriel-de-Rumine 48,46.51553028178005,6.643752688416225
Chemin des Libellules 2bis,46.540398752614635,6.643481491711896
Avenue Mon-Repos 28,46.51836788226922,6.641758737959218
Avenue Gabriel-de-Rumine 32,46.516175645045834,6.6418926582871975
Rue Mathurin-Cordier 9,46.52209692814962,6.641806980915403
Avenue Gabriel-de-Rumine 34,46.51613538516282,6.641988366633007
Avenue de l'Avant-Poste 3,46.51695123410666,6.641998001747223
Route du Jorat 5,46.53925116732071,6.67735067407206
Avenue Victor-Ruffy 53,46.53004429244913,6.647779300561268
Avenue Virgile-Rossel 20,46.52615377053566,6.64787248789273
Avenue Victor-Ruffy 11,46.5254030127461,6.647892999309159
Avenue de la Sallaz 64,46.53145182259044,6.6478539621144845
Chemin Isabelle-de-Montolieu 95,46.54528723560573,6.647695298722191
Chemin de Grand-Vennes 79,46.54274386079402,6.649723949791812
Avenue des Mousquines 29,46.51683693562262,6.6501073644820465
Avenue du Léman 42,46.51504160199981,6.650134607468383
Route de Chavannes 9,46.518220077473494,6.601008743418586
Route de Chavannes 7,46.51790413056668,6.6010143816429725
Chemin de la Rosière 27b,46.520340364843335,6.658441321242031
Chemin des Pinsons 7,46.52902414571576,6.658323416514437
Chemin de la Plaisante 5,46.52319401654974,6.658421451765468
Chemin de Haute-Brise 2,46.5271312905744,6.6583708173506935
Chemin de la Cure 11c,46.52919686821283,6.658376827017206
Chemin du Point-du-Jour 12,46.5330027979211,6.658335197539598
Chemin des Pyramides 18,46.52238690443384,6.602645217740343
Chemin de la Prairie 14,46.523144905654924,6.602688884944865
Chemin de la Prairie 16,46.52318856009208,6.602826359639022
Chemin des Pyramides 22,46.52217109020263,6.602854342602657
Rue du Valentin 27,46.52515377548809,6.6309013790572635
Rue du Simplon 12,46.515821678424516,6.631048242282684
Rue Adrien-Pichard 5,46.52209598409945,6.630961043351871
Avenue Louis-Vulliemin 10,46.526911699277214,6.6348192793298795
Rue Saint-Etienne 4,46.521821991835004,6.634922114008152
Rue Mercerie 9,46.5216188842846,6.634938166538104
Boulevard de Grancy 27,46.51571745494914,6.627798017943269
Rue de l'Ale 44,46.5237098835054,6.627779651065346
Avenue d'Ouchy 42,46.51056747979989,6.628001240378455
Avenue d'Ouchy 61,46.50839025128467,6.628042092152949
Boulevard de Grancy 32,46.51588801596998,6.627935805730115
Chemin de la Fauvette 79,46.5293653880198,6.662490719158708
Chemin des Eterpeys 25,46.535315547941,6.662459434039948
Chemin des Eterpeys 27,46.53510725008726,6.662547015026489
Chemin du Cap 2,46.51422487219325,6.649338469537271
